"Provincia,""Municipio"",""Anyo"",""idClienteEprinsa"",""CentrosPublicosESO"",""CentrosPublicosPrimaria"",""CentrosPublicosSecundaria"",""CentrosPublicosBachillerato"",""CentrosPublicosGradoMedio"",""CentrosPublicosGradoSuperior"",""CentrosPublicosSecundariaAdultos"",""CentrosPrivadosConcertadosPrimaria"",""CentrosPrivadosConcertadosESO"",""CentrosPrivadosConcertadosBachillerato"",""CentrosPrivadosConcertadosGradoMedio"",""CentrosPrivadosConcertadosGradoSuperior"",""CentrosPrivadosNoConcertadosPrimaria"",""CentrosPrivadosNoConcertadosESO"",""CentrosPrivadosNoConcertadosBachillerato"",""CentrosPrivadosNoConcertadosGradoMedio"",""CentrosPrivadosNoConcertadosGradoSuperior"",""CentrosExtranjerosPrimaria"",""CentrosExtranjerosESO"",""CentrosExtranjerosBachillerato"""
"Córdoba,""Montilla"",""Curso 2019-2020"",""1042"",""2"",""5"",""8"",""2"",""2"",""2"",""1"",""3"",""3"","""","""","""","""","""","""",""1"","""","""","""","""""
